Categoria,Mensagem
spam,"Você ganhou um desconto especial! Aproveite agora."
ham,"Vamos fazer um karaokê em casa?"
spam,"Seu cadastro foi aprovado! Receba um presente exclusivo."
ham,"Adorei a sua apresentação, você foi muito criativo."
spam,"Atenção: sua conta foi suspensa! Clique para reativar."
ham,"Podemos marcar um almoço para conversarmos sobre o projeto?"
spam,"Você ganhou um vale-presente! Resgate agora mesmo."
ham,"Preciso da sua ajuda para escolher um presente."
spam,"Seu número foi sorteado! Ganhe um prêmio imperdível."
ham,"Vamos fazer um passeio de bicicleta no parque?"
spam,"Atenção: seu acesso foi negado! Clique para verificar."
ham,"Adorei a sua companhia no teatro, foi muito emocionante."
spam,"Você ganhou um bônus exclusivo! Receba agora mesmo."
ham,"Posso te ajudar a organizar a mudança?"
spam,"Seu cadastro foi aprovado! Ganhe um presente especial."
ham,"Vamos fazer um piquenique no jardim botânico?"
spam,"Atenção: sua conta foi limitada! Clique para desbloquear."
ham,"Adorei a sua apresentação, você foi muito perspicaz."
spam,"Você ganhou um desconto especial! Aproveite agora."
ham,"Podemos marcar um jantar para celebrarmos o sucesso do projeto?"
spam,"Seu número foi sorteado! Ganhe um prêmio incrível."
ham,"Preciso da sua ajuda para escolher um presente para o aniversário da minha mãe."
spam,"Atenção: seu acesso foi suspenso! Clique para verificar."
ham,"Vamos fazer um passeio de barco no lago?"
spam,"Você ganhou um bônus exclusivo! Receba agora mesmo."
ham,"Adorei a sua companhia no show de stand-up, foi muito engraçado."
spam,"Seu cadastro foi aprovado! Ganhe um presente especial."
ham,"Posso te ajudar a organizar a festa de aniversário do meu filho?"
spam,"Atenção: sua conta foi bloqueada! Clique para desbloquear."
ham,"Vamos fazer um piquenique na cachoeira?"
spam,"Você ganhou um desconto especial! Aproveite agora."
ham,"Adorei a sua apresentação, você foi muito inspirador."
spam,"Seu número foi sorteado! Ganhe um prêmio incrível."
ham,"Podemos marcar um café para colocarmos a conversa em dia sobre o novo projeto?"
spam,"Atenção: seu acesso foi negado! Clique para verificar."
ham,"Preciso da sua ajuda para escolher um presente para o dia dos pais."
spam,"Você ganhou um bônus exclusivo! Receba agora mesmo."
ham,"Vamos fazer um passeio de balão no final de semana?"
spam,"Seu cadastro foi aprovado! Ganhe um presente especial."
ham,"Adorei a sua companhia no museu de arte moderna, foi muito interessante."
spam,"Atenção: sua conta foi limitada! Clique para desbloquear."
ham,"Posso te ajudar a organizar a festa de formatura da minha irmã?"
spam,"Você ganhou um desconto especial! Aproveite agora."
ham,"Vamos fazer um piquenique no parque aquático?"
spam,"Seu número foi sorteado! Ganhe um prêmio incrível."
ham,"Adorei a sua apresentação, você foi muito inteligente."
spam,"Atenção: seu acesso foi suspenso! Clique para verificar."
ham,"Podemos marcar um jantar para celebrarmos o aniversário do nosso amigo?"
spam,"Você ganhou um bônus exclusivo! Receba agora mesmo."
ham,"Preciso da sua ajuda para escolher um presente para o dia das crianças."
spam,"Seu cadastro foi aprovado! Ganhe um presente especial."
ham,"Vamos fazer um passeio de trem no final de semana?"
spam,"Atenção: sua conta foi bloqueada! Clique para desbloquear."
ham,"Adorei a sua companhia na peça de teatro, foi muito emocionante."
spam,"Você ganhou um desconto especial! Aproveite agora."
ham,"Posso te ajudar a organizar a festa de casamento da minha prima?"
spam,"Seu número foi sorteado! Ganhe um prêmio incrível."
ham,"Nova notícia cadastrada para turma virtual:
spam,"Hoje é seu dia de sorte! Ganhe um bônus exclusivo."
ham,"Arquivo Central | Nota de pesar"
spam,"Aproveite apostas a partir de R$1 com as melhores odds do mercado."
ham,"FAV | Nota de falecimento"
spam,"Não Cozinhe Neste Sábado:"
ham,"Seu recibo de pedido do Google Play"
spam,"BRADESCO INFORMA: Seus Pontos Livelo expiram em 24 horas!"
ham,"Login detectado em novo dispositivo"
spam,"Temos um pacote de boas-vindas especial para você!"
ham,"Alerta de segurança"
spam,"Stanley com até 50% OFF para você!"
ham,"Pagamento aprovado"
spam,"Giros Grátis Te Esperam!"
ham,"Agradecemos o seu pedido no Steam!"
spam,"Seu sábado merece um combo perfeito!"
ham,"Agradecemos a sua transação recente no Steam."
spam,"Você acabou de ganhar 100 RODADAS GRÁTIS! e até R$2.500 em bônus no seu primeiro depósito!"
ham,"Os itens a seguir foram adicionados à sua Biblioteca Steam."
spam,"Hoje é seu dia de sorte! Ganhe um bônus exclusivo."
ham,"Resumo da sua compra"
spam,"O tempo tá correndo… e a pizza também!"
ham,"Alerta de segurança: houve um acesso à sua conta em um novo navegador"
spam,"Aqui tem 15% de Cashback pra você poder se divertir ainda mais."
ham,"Número de telefone removido da sua conta"
spam,"Os melhores e mais conhecidos jogos estão aqui."
ham,"Notificação de login do Yahoo"
spam,"Sextou com pizza? SEMPRE!"
ham,"Você encerrou sua conta"
spam,"Promoções Todos os Dias. Vem se Divertir!"
ham,"Sua conta C6 Bank, será encerrada em breve"
spam,"Receba amostras GRÁTIS diretamente na sua casa sem custo algum."
ham,"seu código chegou"
spam,"A Globo te ensina a inovar! Transforme ideias em realidade"
ham,"Lembrete importante sobre as políticas do Perfil da Empresa"
spam,"A Vale te mostra o caminho! Trabalhe menos e produza mais"
ham,"gov.br: Alerta de segurança: acesso em novo dispositivo"
spam,"É o momento certo para investir em PCs prontos para IA."
ham,"Você recebeu sua compra, aproveite!"
spam,"Ainda dá tempo | Ótimos preços em PCs prontos para IA."
ham,"Sua compra está a caminho"
spam,"Inscreva-se no Ride To Code!"
ham,"Assistência de senha da Amazon"
spam,"Últimas horas | Nunca mais precise renovar seu plano"
ham,"A fatura do seu cartão BrasilCard está fechada"
spam,"Nossos melhores PCs com kits exclusivos. Aproveite!"
ham,"O pagamento da assinatura de Google One foi recusado"
spam,"A Vivo te ensina! Tome decisões estratégicas como um especialista"
ham,"O pagamento da assinatura de YouTube foi recusado"
spam,"Acesso liberado por tempo limitado: Dio Pro Vitalício + Semana do Consumidor"
ham,"Confirmação de inscrição"
spam,"A oferta da Semana do Consumidor do Dio Pro Vitalício foi liberada e válida por tempo extremamente limitado."
ham,"Sua fatura mensal - Itaú Cartões"
spam,"Promoção Relâmpago | Ofertas exclusivas por tempo limitado. Corra"
ham,"Código de verificação IngressoSA"
spam,"As aulas já vão começar. Inscreva-se na EdN!"
ham,"Item compartilhado com você:"
spam,"As ofertas mais recentes em PCs já chegaram."
ham,"Fatuta Disponivel"
spam,"As vagas estão acabando! Comece sua carreira na tecnologia."
ham,"Não conseguimos processar seu pagamento."
spam,"PCs inovadores para estudantes, projetados para inspirar novas ideias e projetos."
ham,"Pix Saque enviado"
spam,"Escola da Nuvem - Feriado de Carnaval"
ham,"Seu pagamento está confirmado!"
spam,"Sua faculdade termina depois de julho de 2026? Tem estágio na Avanade pra você!"
ham,"Não é mais possível fazer backup de fotos e vídeos recentes"
spam,"Muito além da sala de aula: PCs de ponta para novas possibilidades."
ham,"Parabéns! Agora você tem o Gemini Advanced"
spam,"Bootcamp com a Microsoft sobre prompts inteligentes"
ham,"Seu código de validação chegou!"
spam,"Uber Teens: o que você precisa saber"
ham,"Autorização de alteração de senha"
spam,"Uber Flash: 15% para enviar itens!"
ham,"Várias pessoas estão vendo suas fotos no Google Maps!"
spam,"Conheça nossa Revisão de Aulas"
ham,"Alerta de segurança para"
spam,"PREÇO IMPERDIVEL"
ham,"Atualizamos nossos Termos de Serviço"
spam,"Você escolhe quando dirigir para gerar ganhos"
ham,"Queremos ouvir você! Compartilhe sua experiência conosco!"
spam,"Qual é o seu jeito de aprender inglês?"
ham,"Agência, conta e endereço alterados com sucesso"
spam,"Temos novidades no Inter Loop"
ham,"Envio da NFe - Emitente:"
spam,"Quase. Quase. Está quase acabando | Ofertas do Consumidor"
ham,"Seu relatório de ganhos ficou pronto"
spam,"A performance e os preços que você queria."
